"link","Link_url","count"
"a strange logical bug (PR#162) ","https://stat.ethz.ch/pipermail/r-devel/1999-April/018964.html",14
"definition of R_problem_buf in S.h (PR#210) ","https://stat.ethz.ch/pipermail/r-devel/1999-June/019237.html",14
"[Rd] Projects ","https://stat.ethz.ch/pipermail/r-devel/2000-September/021206.html",14
"R 1.6.0 beta ","https://stat.ethz.ch/pipermail/r-devel/2002-September/025017.html",14
"[Rd] Methods package is now attached by default ","https://stat.ethz.ch/pipermail/r-devel/2003-January/025758.html",14
"[Rd] Something strange in cor.test in R-1.8.0 (PR#4718) ","https://stat.ethz.ch/pipermail/r-devel/2003-October/027919.html",14
"[Rd] Spelling (PR#6570) ","https://stat.ethz.ch/pipermail/r-devel/2004-February/028799.html",14
"[Rd] Standalone Mathlib, C++ and ISNAN() ","https://stat.ethz.ch/pipermail/r-devel/2005-January/031800.html",14
"[Rd] bug in modulus operator %% (PR#7852) ","https://stat.ethz.ch/pipermail/r-devel/2005-May/033219.html",14
"[Rd] problem with \eqn (PR#8322) ","https://stat.ethz.ch/pipermail/r-devel/2005-November/035541.html",14
"[Rd] Rcmd install mypkg ","https://stat.ethz.ch/pipermail/r-devel/2006-October/042949.html",14
"[Rd] c.factor ","https://stat.ethz.ch/pipermail/r-devel/2006-November/043620.html",14
"[Rd] memory issues with new release (PR#9344) ","https://stat.ethz.ch/pipermail/r-devel/2006-November/043511.html",14
"[Rd] Sweave.sh shell script on CRAN ","https://stat.ethz.ch/pipermail/r-devel/2007-April/045397.html",14
"[Rd] modifying large R objects in place ","https://stat.ethz.ch/pipermail/r-devel/2007-September/046981.html",14
"[Rd] Finding windows DLLs ","https://stat.ethz.ch/pipermail/r-devel/2008-January/047961.html",14
"[Rd] 0.45<0.45 = TRUE (PR#10744) ","https://stat.ethz.ch/pipermail/r-devel/2008-February/048332.html",14
"[Rd] build packages with vignettes in Windows ","https://stat.ethz.ch/pipermail/r-devel/2008-April/049369.html",14
"[Rd] R 2.8.0 qqnorm produces error with object of class zoo? ","https://stat.ethz.ch/pipermail/r-devel/2008-October/051012.html",14
"[Rd] [R] Building with MKL on Ubuntu ","https://stat.ethz.ch/pipermail/r-devel/2008-November/051174.html",14
"[Rd] 'is.integer' (PR#13671) ","https://stat.ethz.ch/pipermail/r-devel/2009-April/053110.html",14
"[Rd] proposed changes to RSiteSearch ","https://stat.ethz.ch/pipermail/r-devel/2009-June/053664.html",14
"[Rd] Windows Source Install Without Rtools ","https://stat.ethz.ch/pipermail/r-devel/2009-September/054818.html",14
